SalesOrderNumber,OrderDate,ProductKey,SalesTerritoryKey,Quantity,UnitPrice,Sales,Cost
SO43897,8/25/2017,235,4,2,28.84,57.68,63.45
SO43897,8/25/2017,232,4,2,28.84,57.68,63.45
SO44544,11/18/2017,220,4,2,20.19,40.38,24.06
SO46082,5/23/2018,220,4,2,20.19,40.38,24.06
SO46082,5/23/2018,232,4,2,28.84,57.68,63.45
SO46082,5/23/2018,212,4,2,20.19,40.38,24.06
SO47028,8/24/2018,410,4,2,36.45,72.9,53.94
SO47028,8/24/2018,464,4,2,14.13,28.26,19.43
SO47028,8/24/2018,412,4,2,180.13,360.26,266.59
SO47028,8/24/2018,420,4,2,141.62,283.24,209.59
SO47028,8/24/2018,468,4,2,22.79,45.58,31.34
SO47028,8/24/2018,409,4,2,209.26,418.52,371.64
SO47028,8/24/2018,428,4,2,209.26,418.52,371.64
SO48049,11/19/2018,401,4,2,65.6,131.2,97.09
SO48049,11/19/2018,224,4,2,5.19,10.38,10.46
SO48049,11/19/2018,412,4,2,180.13,360.26,266.59
SO48049,11/19/2018,458,4,2,44.99,89.98,61.87
SO48049,11/19/2018,411,4,2,125.42,250.84,185.61
SO48049,11/19/2018,409,4,2,209.26,418.52,371.64
SO48049,11/19/2018,221,4,2,20.19,40.38,27.76
SO48049,11/19/2018,427,4,2,209.26,418.52,371.64
SO49132,2/20/2019,399,4,2,33.77,67.54,49.99
SO49132,2/20/2019,420,4,2,141.62,283.24,209.59
SO49132,2/20/2019,421,4,2,196.33,392.66,290.57
SO50294,5/25/2019,411,4,2,125.42,250.84,185.61
SO50294,5/25/2019,224,4,2,5.19,10.38,10.46
SO50294,5/25/2019,213,4,2,20.19,40.38,27.76
SO50294,5/25/2019,419,4,2,52.65,105.3,77.92
SO50294,5/25/2019,428,4,2,209.26,418.52,371.64
SO50294,5/25/2019,236,4,2,28.84,57.68,58.16
SO50294,5/25/2019,401,4,2,65.6,131.2,97.09
SO50294,5/25/2019,421,4,2,196.33,392.66,290.57
SO50294,5/25/2019,448,4,2,11.99,23.98,16.49
SO50294,5/25/2019,233,4,2,28.84,57.68,58.16
SO50294,5/25/2019,399,4,2,33.77,67.54,49.99
SO51845,8/27/2019,591,4,2,338.99,677.98,616.44
SO51845,8/27/2019,525,4,2,158.43,316.86,289.19
SO51845,8/27/2019,588,4,2,461.69,923.38,839.56
SO51845,8/27/2019,531,4,2,149.87,299.74,273.57
SO51845,8/27/2019,513,4,2,218.45,436.9,398.75
SO51845,8/27/2019,542,4,2,24.29,48.58,35.96
SO57144,11/22/2019,598,4,2,323.99,647.98,589.16
SO57144,11/22/2019,400,4,2,37.15,74.3,54.99
SO57144,11/22/2019,542,4,2,24.29,48.58,35.96
SO57144,11/22/2019,588,4,2,461.69,923.38,839.56
SO57144,11/22/2019,594,4,2,338.99,677.98,616.44
SO57144,11/22/2019,511,4,2,218.45,436.9,398.75
SO57144,11/22/2019,477,4,2,2.99,5.98,3.73
SO63283,2/27/2020,483,4,2,72,144,89.76
SO63283,2/27/2020,598,4,2,323.99,647.98,589.16
SO63283,2/27/2020,491,4,2,32.39,64.78,83.14
SO63283,2/27/2020,471,4,2,38.1,76.2,47.5
SO69532,5/27/2020,402,4,2,72.16,144.32,106.8
SO69532,5/27/2020,222,4,2,20.99,41.98,26.17
SO69532,5/27/2020,231,4,2,29.99,59.98,76.98
SO69532,5/27/2020,542,4,2,24.29,48.58,35.96
SO69532,5/27/2020,532,4,2,149.87,299.74,273.57
SO69532,5/27/2020,398,4,2,26.72,53.44,39.55
SO69532,5/27/2020,592,4,2,113,226,616.44
SO69532,5/27/2020,475,4,2,41.99,83.98,52.35
SO69532,5/27/2020,513,4,2,218.45,436.9,398.75
SO44113,9/23/2017,218,4,2,5.7,11.4,6.79
SO44113,9/23/2017,223,4,2,5.19,10.38,11.41
SO44113,9/23/2017,220,4,2,20.19,40.38,24.06
SO44113,9/23/2017,235,4,2,28.84,57.68,63.45
SO44776,12/23/2017,215,4,2,20.19,40.38,24.06
SO44776,12/23/2017,220,4,2,20.19,40.38,24.06
SO44776,12/23/2017,212,4,2,20.19,40.38,24.06
SO44776,12/23/2017,232,4,2,28.84,57.68,63.45
SO45554,3/17/2018,220,4,2,20.19,40.38,24.06
SO45554,3/17/2018,223,4,2,5.19,10.38,11.41
SO46362,6/18/2018,232,4,2,28.84,57.68,63.45
SO47417,9/18/2018,421,4,2,196.33,392.66,290.57
SO47417,9/18/2018,468,4,2,22.79,45.58,31.34
SO47417,9/18/2018,428,4,2,209.26,418.52,371.64
SO47417,9/18/2018,391,4,2,88.93,177.86,131.62
SO47417,9/18/2018,394,4,2,20.52,41.04,30.37
SO49472,3/8/2019,397,4,2,24.29,48.58,35.96
SO49472,3/8/2019,393,4,2,137.69,275.38,203.79
SO49472,3/8/2019,420,4,2,141.62,283.24,209.59
SO50702,6/14/2019,427,4,2,209.26,418.52,371.64
SO50702,6/14/2019,469,4,2,22.79,45.58,31.34
SO53531,9/15/2019,597,4,2,323.99,647.98,589.16
SO53531,9/15/2019,475,4,2,41.99,83.98,52.35
SO53531,9/15/2019,552,4,2,54.89,109.78,81.24
SO53531,9/15/2019,542,4,2,24.29,48.58,35.96
SO53531,9/15/2019,516,4,2,23.48,46.96,34.76
SO53531,9/15/2019,532,4,2,149.87,299.74,273.57
SO53531,9/15/2019,514,4,2,63.9,127.8,94.57
SO53531,9/15/2019,531,4,2,149.87,299.74,273.57
SO53531,9/15/2019,524,4,2,158.43,316.86,289.19
SO53531,9/15/2019,558,4,2,242.99,485.98,359.63
SO53531,9/15/2019,592,4,2,338.99,677.98,616.44
SO58975,12/13/2019,501,4,2,72.88,145.76,107.86
SO58975,12/13/2019,601,4,2,32.39,64.78,47.94
SO58975,12/13/2019,400,4,2,37.15,74.3,54.99
SO58975,12/13/2019,517,4,2,31.58,63.16,46.74
SO65209,3/10/2020,551,4,2,158.43,316.86,289.19
SO65209,3/10/2020,544,4,2,48.59,97.18,71.92
SO65209,3/10/2020,531,4,2,149.87,299.74,273.57
SO65209,3/10/2020,555,4,2,63.9,127.8,94.57
SO65209,3/10/2020,474,4,2,41.99,83.98,52.35
